Question,Answer
Làm thế nào để đặt lịch khám bệnh?,"Bạn có thể đặt lịch khám bệnh qua website của bệnh viện, ứng dụng di động, hoặc gọi trực tiếp đến tổng đài 19006098 trong giờ hành chính."
Thời gian làm việc của phòng khám là khi nào?,"Phòng khám mở cửa từ 7h30 sáng đến 17h00 chiều, từ Thứ Hai đến Thứ Sáu. Thứ Bảy chỉ khám buổi sáng."
Bệnh viện có chấp nhận bảo hiểm y tế nào?,"Bệnh viện chúng tôi chấp nhận thẻ Bảo hiểm Y tế của các công ty BHXH Việt Nam, Bảo Việt, Manulife, và Prudential."
 Tôi cần mang theo giấy tờ gì khi đến khám?,"Vui lòng mang theo Chứng minh nhân dân (hoặc căn cước công dân), thẻ Bảo hiểm Y tế (nếu có), và các giấy tờ khám bệnh cũ (nếu có)."
Tôi có thể nhận kết quả xét nghiệm online không?,"Có, bạn có thể truy cập cổng thông tin bệnh nhân trên website và sử dụng mã số hồ sơ để tra cứu kết quả xét nghiệm sau 24 giờ."
Chi phí khám tổng quát là bao nhiêu?,"Gói khám tổng quát cơ bản có chi phí 800.000 VNĐ, chưa bao gồm các xét nghiệm chuyên sâu."
Tôi nên làm gì nếu quên lịch hẹn khám?,"Vui lòng gọi lại tổng đài càng sớm càng tốt để sắp xếp lại lịch hẹn. Nếu bỏ lỡ quá 3 lần, bạn sẽ phải đăng ký lại từ đầu."
Tác dụng phụ thường gặp của thuốc kháng sinh là gì?,"Tác dụng phụ phổ biến bao gồm buồn nôn, tiêu chảy và dị ứng da. Hãy tham khảo ý kiến bác sĩ nếu triệu chứng nghiêm trọng."
Làm thế nào để phòng ngừa bệnh cúm mùa?,"Tiêm vắc-xin cúm hàng năm là biện pháp phòng ngừa tốt nhất. Ngoài ra, cần rửa tay thường xuyên và tránh chạm tay lên mặt."
Tôi có được thăm bệnh nhân trong phòng hồi sức không?,"Khu vực hồi sức chỉ cho phép thăm bệnh vào hai khung giờ cố định là 11h30 và 18h30 mỗi ngày, mỗi lần không quá 10 phút."
Bác sĩ nào chuyên về tim mạch?,Bệnh viện chúng tôi có Bác sĩ Nguyễn Văn A và Bác sĩ Trần Thị B là hai chuyên gia hàng đầu về tim mạch.
Cần nhịn ăn bao lâu trước khi xét nghiệm máu?,"Thông thường, bạn cần nhịn ăn ít nhất 8-12 tiếng trước khi lấy mẫu xét nghiệm máu để có kết quả chính xác nhất."
Tôi có thể yêu cầu hồ sơ bệnh án không?,"Có, bạn cần điền vào mẫu đơn yêu cầu tại quầy tiếp nhận hồ sơ và cung cấp CMND. Việc này có thể mất 3-5 ngày làm việc."
Khám sức khỏe định kỳ quan trọng như thế nào?,"Khám sức khỏe định kỳ giúp phát hiện sớm các bệnh lý tiềm ẩn, đặc biệt là các bệnh không có triệu chứng rõ ràng."
Tôi nên làm gì khi bị sốt cao kéo dài?,"Uống thuốc hạ sốt, bù nước bằng Oresol, và đến cơ sở y tế gần nhất nếu sốt kéo dài quá 48 giờ hoặc xuất hiện co giật."
